nro,tribunale,area,dimensione,distretto,regione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc,obiettivo-ultra-triennali
1,AGRIGENTO,Isole,Medio grande,Palermo,Sicilia,2014,17653,3198,44%,12696,12515,325,0.9,1.04,32,27,5,16%,127,119,8,6%,1
2,ALESSANDRIA,Nord-Ovest,Medio grande,Torino,Piemonte,2014,9999,2085,31%,12832,12890,469,1.3,0.87,29,27,2,7%,102,81,21,21%,1
3,ANCONA,Centro,Grande,Ancona,Marche,2014,15286,3449,38%,17308,17608,278,0.8,1.01,31,24,7,23%,121,91,30,25%,1
4,AOSTA,Nord-Ovest,Piccolo,Torino,Valle d'Aosta,2014,1692,146,16%,4733,4947,330,0.9,1.12,8,8,0,0%,34,21,13,38%,1
5,AREZZO,Centro,Medio grande,Firenze,Toscana,2014,10113,2542,32%,11672,12121,242,0.7,1.01,21,17,4,19%,72,57,15,21%,1
6,ASCOLI PICENO,Centro,Medio piccolo,Ancona,Marche,2014,9959,3586,45%,7484,8237,431,1.2,0.97,14,13,1,7%,57,56,1,2%,1
7,ASTI,Nord-Ovest,Medio grande,Torino,Piemonte,2014,6806,821,22%,11564,11737,224,0.6,0.98,24,22,2,8%,71,55,16,23%,1
8,AVELLINO,Sud,Medio grande,Napoli,Campania,2014,26154,8164,39%,16863,16925,418,1.1,0.91,38,34,4,11%,149,118,31,21%,1
9,AVEZZANO,Sud,Piccolo,Aquila,Abruzzo,2014,7116,2270,44%,5315,5991,568,1.6,1.11,11,10,1,9%,47,40,7,15%,1
10,BARCELLONA POZZO DI GOTTO,Isole,Piccolo,Messina,Sicilia,2014,18375,8762,46%,6795,7547,834,2.3,1.14,15,11,4,27%,56,46,10,18%,1
11,BARI,Sud,Molto grande o metropolitano,Bari,Puglia,2014,88043,35271,33%,50013,61317,540,1.5,1,93,82,11,12%,307,259,49,16%,1
12,BELLUNO,Nord-Est,Medio piccolo,Venezia,Veneto,2014,4044,1382,44%,4164,4610,348,1,1.07,12,9,3,25%,43,32,11,26%,1
13,BENEVENTO,Sud,Medio grande,Napoli,Campania,2014,27186,8381,35%,18461,22030,543,1.5,1.34,35,33,2,6%,150,129,21,14%,1
14,BERGAMO,Nord-Ovest,Molto grande o metropolitano,Brescia,Lombardia,2014,25032,6311,34%,29811,30279,318,0.9,0.92,53,44,9,17%,132,99,34,25%,1
15,BIELLA,Nord-Ovest,Piccolo,Torino,Piemonte,2014,4346,944,39%,6212,6381,408,1.1,1.09,12,9,3,25%,39,24,15,38%,1
16,BOLOGNA,Nord-Est,Molto grande o metropolitano,Bologna,Emilia Romagna,2014,27996,6248,31%,37014,39037,266,0.7,0.91,78,69,9,12%,243,174,69,28%,1
17,BOLZANO,Nord-Est,Grande,Bolzano,Trentino Alto Adige,2014,6912,864,13%,14293,15131,221,0.6,1.12,39,26,13,33%,164,77,87,53%,1
18,BRESCIA,Nord-Ovest,Molto grande o metropolitano,Brescia,Lombardia,2014,35046,8493,33%,41514,42229,299,0.8,1.06,71,53,18,25%,162,127,35,22%,1
19,BRINDISI,Sud,Medio grande,Lecce,Puglia,2014,22569,5324,30%,18708,16784,518,1.4,1.27,37,35,2,5%,127,126,1,1%,1
20,BUSTO ARSIZIO,Nord-Ovest,Grande,Milano,Lombardia,2014,10468,1632,25%,19480,19690,253,0.7,0.94,34,30,4,12%,124,70,54,44%,1
21,CAGLIARI,Isole,Grande,Cagliari,Sardegna,2014,39800,14273,42%,30136,30152,431,1.2,0.96,60,51,9,15%,216,192,24,11%,1
22,CALTAGIRONE,Isole,Piccolo,Catania,Sicilia,2014,9541,3761,52%,5327,5296,631,1.7,1.11,12,12,0,0%,47,40,7,15%,1
23,CALTANISSETTA,Isole,Piccolo,Caltanissetta,Sicilia,2014,6871,1461,50%,6126,5719,613,1.7,1.23,33,26,7,21%,108,100,8,7%,1
24,CAMPOBASSO,Sud,Piccolo,Campobasso,Molise,2014,6197,1376,29%,5784,6352,284,0.8,1.02,11,7,4,36%,58,49,9,16%,1
25,CASSINO,Centro,Medio grande,Roma,Lazio,2014,15509,4462,39%,11272,10338,522,1.4,1.1,23,17,6,26%,79,64,15,19%,1
26,CASTROVILLARI,Sud,Medio piccolo,Catanzaro,Calabria,2014,28413,11654,54%,12474,11940,310,0.8,0.93,29,25,4,14%,100,93,7,7%,1
27,CATANIA,Isole,Molto grande o metropolitano,Catania,Sicilia,2014,79408,28632,54%,43056,43278,561,1.5,1,114,102,12,11%,336,277,59,18%,1
28,CATANZARO,Sud,Medio piccolo,Catanzaro,Calabria,2014,24878,7857,12%,19294,17352,264,0.7,0.78,50,34,16,32%,129,119,10,8%,1
29,CHIETI,Sud,Medio piccolo,Aquila,Abruzzo,2014,5297,751,27%,8185,8962,272,0.7,1.04,15,15,0,0%,115,51,64,56%,1
30,CIVITAVECCHIA,Centro,Medio piccolo,Roma,Lazio,2014,14478,4521,41%,9846,9662,463,1.3,0.92,22,15,7,32%,61,51,10,16%,1
31,COMO,Nord-Ovest,Grande,Milano,Lombardia,2014,9738,1206,17%,15335,16356,252,0.7,1.04,29,26,3,10%,103,72,32,31%,1
32,COSENZA,Sud,Medio grande,Catanzaro,Calabria,2014,28922,8146,34%,17366,18479,457,1.3,1.18,38,31,7,18%,113,105,8,7%,1
33,CREMONA,Nord-Ovest,Medio grande,Brescia,Lombardia,2014,7586,2121,39%,8644,9352,381,1,1.07,21,18,3,14%,55,43,12,22%,1
34,CROTONE,Sud,Piccolo,Catanzaro,Calabria,2014,15464,5230,29%,8142,8141,522,1.4,0.94,23,16,7,30%,66,60,6,9%,1
35,CUNEO,Nord-Ovest,Grande,Torino,Piemonte,2014,6016,758,21%,11144,11231,160,0.4,0.96,26,23,3,12%,92,84,8,9%,1
36,ENNA,Isole,Piccolo,Caltanissetta,Sicilia,2014,8109,2555,49%,5330,5776,587,1.6,1.15,18,19,-1,-6%,60,59,1,2%,1
37,FERMO,Centro,Medio piccolo,Ancona,Marche,2014,7455,2639,50%,6835,7066,449,1.2,0.9,13,13,0,0%,51,40,11,22%,1
38,FERRARA,Nord-Est,Medio grande,Bologna,Emilia Romagna,2014,4899,595,20%,9827,10846,288,0.8,1.09,22,19,3,14%,70,65,5,7%,1
39,FIRENZE,Centro,Molto grande o metropolitano,Firenze,Toscana,2014,37288,9522,29%,37985,38736,330,0.9,1.03,85,70,15,18%,267,203,65,24%,1
40,FOGGIA,Sud,Grande,Bari,Puglia,2014,92905,48962,26%,31810,59808,487,1.3,1.08,66,48,18,27%,211,170,41,19%,1
41,FORLì,Nord-Est,Medio grande,Bologna,Emilia Romagna,2014,9244,1713,22%,12170,12083,209,0.6,0.98,22,18,4,18%,74,61,13,18%,1
42,FROSINONE,Centro,Medio piccolo,Roma,Lazio,2014,14876,4207,32%,12432,13428,370,1,0.99,23,21,2,9%,86,69,17,20%,1
43,GELA,Isole,Piccolo,Caltanissetta,Sicilia,2014,6294,1541,42%,4613,4204,527,1.4,0.91,14,14,0,0%,43,33,10,23%,1
44,GENOVA,Nord-Ovest,Grande,Genova,Liguria,2014,20873,2274,22%,33796,36987,190,0.5,1.09,93,83,10,11%,314,243,72,23%,1
45,GORIZIA,Nord-Est,Piccolo,Trieste,Friuli Venezia Giulia,2014,3229,670,27%,5332,5835,257,0.7,0.99,12,9,3,25%,37,29,8,22%,1
46,GROSSETO,Centro,Medio piccolo,Firenze,Toscana,2014,11092,4343,39%,8295,8589,272,0.7,0.95,16,14,2,13%,63,51,12,19%,1
47,IMPERIA,Nord-Ovest,Medio piccolo,Genova,Liguria,2014,7427,2132,39%,7218,7729,276,0.8,1.01,21,16,5,24%,81,65,16,20%,1
48,ISERNIA,Sud,Piccolo,Campobasso,Molise,2014,7429,2693,37%,3549,3862,401,1.1,0.98,9,8,1,11%,42,37,5,12%,1
49,IVREA,Nord-Ovest,Grande,Torino,Piemonte,2014,6096,567,15%,11598,9771,161,0.4,0.79,21,17,4,19%,58,40,18,31%,1
55,L'AQUILA,Sud,Piccolo,Genova,Liguria,2014,6639,1478,32%,9229,9332,440,1.2,1.12,12,7,5,42%,50,42,8,16%,1
50,LA SPEZIA,Nord-Ovest,Medio piccolo,Potenza,Basilicata,2014,12357,4325,28%,6212,6167,251,0.7,0.83,21,17,4,19%,73,66,7,10%,1
51,LAGONEGRO,Sud,Piccolo,Catanzaro,Calabria,2014,16142,9955,45%,5090,7671,359,1,0.82,18,16,2,11%,66,48,18,27%,1
