nro,tribunale,area,dimensione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc,obiettivo-ultra-triennali
1,AGRIGENTO,Isole,Medio grande,2015,2463,1219,49%,1819,2047,519,1.4,1.13,32 ,27,5,16%,127,119,8,6%,0.1
2,ALESSANDRIA,Nord-Ovest,Medio grande,2015,3986,1496,38%,3080,3599,429,1.2,1.17,29 ,27,2,7%,102,81,21,21%,0.1
3,ANCONA,Centro,Grande,2015,4775,2228,47%,3366,3849,369,1.0,1.14,31 ,24,7,23%,121,91,30,25%,0.1
4,AOSTA,Nord-Ovest,Piccolo,2015,455,84,18%,788,901,311,0.9,1.14,8 ,8,0,0%,34,21,13,38%,0.1
5,AREZZO,Centro,Medio grande,2015,2339,817,35%,2285,2595,499,1.4,1.14,21 ,17,4,19%,72,57,15,21%,0.1
6,ASCOLI PICENO,Centro,Medio piccolo,2015,2040,843,41%,1148,1802,1524,4.2,1.57,14 ,13,1,7%,57,56,1,2%,0.1
7,ASTI,Nord-Ovest,Medio grande,2015,2266,742,33%,2160,2597,270,0.7,1.20,24 ,22,2,8%,71,55,16,23%,0.1
8,AVELLINO,Sud,Medio grande,2015,4866,2321,48%,2592,2987,431,1.2,1.15,38 ,34,4,11%,149,118,31,21%,0.1
9,AVEZZANO,Sud,Piccolo,2015,1415,613,43%,860,869,784,2.1,1.01,11 ,10,1,9%,47,40,7,15%,0.1
10,BARCELLONA POZZO DI GOTTO,Isole,Piccolo,2015,1815,997,55%,807,1168,944,2.6,1.45,15 ,11,4,27%,56,46,10,18%,0.1
11,BARI,Sud,Molto grande o metropolitano,2015,10688,4119,39%,6219,9945,640,1.8,1.60,93 ,82,11,12%,307,259,49,16%,0.1
12,BELLUNO,Nord-Est,Medio piccolo,2015,1133,528,47%,800,831,447,1.2,1.04,12 ,9,3,25%,43,32,11,26%,0.1
13,BENEVENTO,Sud,Medio grande,2015,4033,1743,43%,2688,3614,512,1.4,1.34,35 ,33,2,6%,150,129,21,14%,0.1
